name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Knoxville city, Tennessee",1600000US4740000,186238,139049,117797,1024,24766,5134,6203,17761,9253,25929,155110,102561,5513,45316,35816,47,40000,2016,Tennessee,47_40000,Knoxville
"Memphis city, Tennessee",1600000US4748000,652752,183086,418606,6230,103287,15580,24267,78799,29190,63895,505437,318760,27003,171210,38826,47,48000,2016,Tennessee,47_48000,Memphis
"Murfreesboro city, Tennessee",1600000US4751560,131939,99290,77694,650,17688,2330,4350,14126,6719,18952,105363,75806,3793,16865,54654,47,51560,2016,Tennessee,47_51560,Murfreesboro
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,660393,422479,451227,6880,86402,16343,22213,66263,26051,111340,531811,377132,16212,96690,54310,47,52006,2016,Tennessee,47_52006,Nashville-Davidson metropolitan government (balance)
"Abilene city, Texas",1600000US4801000,128272,93584,79936,1136,22554,7227,4240,13073,4857,11221,102154,58516,2125,22467,45713,48,01000,2016,Texas,48_01000,Abilene
"Allen city, Texas",1600000US4801924,99166,67115,64123,480,9042,776,2861,8318,4067,23686,76875,52539,2085,3686,102064,48,01924,2016,Texas,48_01924,Allen
"Amarillo city, Texas",1600000US4803000,197812,161939,126281,2927,24820,7075,10339,20647,11803,19107,150041,99258,3669,31941,51466,48,03000,2016,Texas,48_03000,Amarillo
"Arlington city, Texas",1600000US4804000,392787,246424,246756,3861,52664,8585,17054,42034,17333,44881,304182,207657,9697,61538,54272,48,04000,2016,Texas,48_04000,Arlington
"Atascocita CDP, Texas",1600000US4804462,72763,52055,49073,434,7542,1484,3122,8988,5205,14616,53820,36325,969,2976,94632,48,04462,2016,Texas,48_04462,Atascocita CDP
"Austin city, Texas",1600000US4805000,947897,706658,645013,12243,87939,15285,24280,96246,34415,199978,762884,568633,19751,124703,66697,48,05000,2016,Texas,48_05000,Austin
"Baytown city, Texas",1600000US4806128,76834,53202,45881,872,12697,1646,2978,8089,3660,4208,57613,38236,2957,8769,56892,48,06128,2016,Texas,48_06128,Baytown
"Beaumont city, Texas",1600000US4807000,118309,55572,74847,1044,20911,4014,4668,13692,5209,9666,91579,53546,1788,21311,42077,48,07000,2016,Texas,48_07000,Beaumont
"Brownsville city, Texas",1600000US4810768,183829,178281,105274,3630,21365,4586,3455,12180,4747,14498,134225,71696,6242,51815,36584,48,10768,2016,Texas,48_10768,Brownsville
"Bryan city, Texas",1600000US4810912,83265,57877,51448,1472,11020,3109,2609,9106,2733,7142,65073,42255,2470,19625,38539,48,10912,2016,Texas,48_10912,Bryan
"Carrollton city, Texas",1600000US4813024,133351,90192,91445,2216,18302,2302,3654,14597,5648,24358,106339,77292,3399,13225,70673,48,13024,2016,Texas,48_13024,Carrollton
"Cedar Park city, Texas",1600000US4813552,70498,56895,,,,,,,,,50226,34756,1008,1726,101064,48,13552,2016,Texas,48_13552,Cedar Park
"College Station city, Texas",1600000US4815976,112142,87999,,,,,,,,,95450,57169,3242,31292,39068,48,15976,2016,Texas,48_15976,College Station
"Conroe city, Texas",1600000US4816432,82296,68828,53938,837,11316,2056,3366,7703,3468,8143,63473,41721,1880,11702,53035,48,16432,2016,Texas,48_16432,Conroe
"Corpus Christi city, Texas",1600000US4817000,325734,292170,210570,3557,47023,10178,14345,39195,16807,30434,254348,161361,8040,44471,54344,48,17000,2016,Texas,48_17000,Corpus Christi
"Dallas city, Texas",1600000US4819000,1317942,814974,852788,24885,152591,26418,32312,133080,39936,171653,1018166,701206,32809,253219,47243,48,19000,2016,Texas,48_19000,Dallas
"Denton city, Texas",1600000US4819972,133803,103969,75782,1084,10752,2754,4762,13553,6213,18921,109190,74988,4343,22962,54528,48,19972,2016,Texas,48_19972,Denton
"Edinburg city, Texas",1600000US4822660,87642,,45897,821,5442,1674,3618,7546,2088,9222,59089,40445,2978,23810,41319,48,22660,2016,Texas,48_22660,Edinburg
"El Paso city, Texas",1600000US4824000,683088,561325,421634,11492,74003,22769,22573,78112,34653,65948,517619,317721,17556,149316,43200,48,24000,2016,Texas,48_24000,El Paso
"Flower Mound town, Texas",1600000US4826232,73289,60475,,,,,,,,,53852,39305,1227,3434,131470,48,26232,2016,Texas,48_26232,Flower Mound town
"Fort Worth city, Texas",1600000US4827000,855897,545285,532081,11988,115402,22364,33182,80060,37590,98504,636591,426974,20422,147471,56428,48,27000,2016,Texas,48_27000,Fort Worth
"Frisco city, Texas",1600000US4827684,163631,112304,101785,255,5503,1606,3843,13439,7253,41888,116424,82551,3044,7008,124829,48,27684,2016,Texas,48_27684,Frisco
"Garland city, Texas",1600000US4829000,234588,158211,146887,4217,30487,5160,10041,20919,9811,23071,175615,123734,6441,32191,57063,48,29000,2016,Texas,48_29000,Garland
"Georgetown city, Texas",1600000US4829336,67137,61995,,,,,,,,,56738,28334,1843,2529,67379,48,29336,2016,Texas,48_29336,Georgetown
"Grand Prairie city, Texas",1600000US4830464,190626,121743,116432,2445,28555,4577,7766,16920,9198,19959,141896,98961,4370,19514,62391,48,30464,2016,Texas,48_30464,Grand Prairie
"Harlingen city, Texas",1600000US4832372,65533,58336,38390,1126,10271,2142,2172,5009,3415,4657,46934,28720,2098,18122,37507,48,32372,2016,Texas,48_32372,Harlingen
"Houston city, Texas",1600000US4835000,2304388,1318837,1489044,39902,301897,44689,54500,209434,75608,297986,1779328,1200876,78619,473620,47793,48,35000,2016,Texas,48_35000,Houston
"Irving city, Texas",1600000US4837000,238284,113047,151209,4905,25595,3450,6757,18328,9956,34274,182395,131269,5345,31181,61362,48,37000,2016,Texas,48_37000,Irving
"Killeen city, Texas",1600000US4839148,143397,62075,81073,761,14453,4086,7605,22216,11886,9272,103697,71900,6845,18563,47556,48,39148,2016,Texas,48_39148,Killeen
"Laredo city, Texas",1600000US4841464,257988,245694,141289,3986,34601,6667,5325,15383,9583,17444,179468,101929,4553,82576,36195,48,41464,2016,Texas,48_41464,Laredo
"League City city, Texas",1600000US4841980,101619,80612,,,,,,,,,78620,57178,2781,4314,104736,48,41980,2016,Texas,48_41980,League City
"Lewisville city, Texas",1600000US4842508,104676,66383,68643,1206,12331,2357,5765,11388,5508,15337,81115,61753,2444,12577,58361,48,42508,2016,Texas,48_42508,Lewisville
"Longview city, Texas",1600000US4843888,81712,57039,53150,171,11848,2732,3746,10007,3348,6780,63454,36720,2317,14683,43411,48,43888,2016,Texas,48_43888,Longview
"Lubbock city, Texas",1600000US4845000,252514,202208,146100,2485,29062,6764,9071,25978,8475,28998,199521,126399,4526,49147,48103,48,45000,2016,Texas,48_45000,Lubbock
"McAllen city, Texas",1600000US4845384,142203,93259,85392,2893,13576,3600,4976,13316,5510,17198,104632,61769,4291,37715,43062,48,45384,2016,Texas,48_45384,McAllen
"McKinney city, Texas",1600000US4845744,172318,129425,110802,1461,15435,2498,8387,14095,10894,34151,128714,90143,2385,13912,87356,48,45744,2016,Texas,48_45744,McKinney
"Mansfield city, Texas",1600000US4846452,65205,41470,40920,114,6955,964,3195,7324,3649,11235,47177,34262,1219,2675,95225,48,46452,2016,Texas,48_46452,Mansfield
"Mesquite city, Texas",1600000US4847892,143763,94356,86384,1360,19955,4015,7990,13921,7453,10670,105090,71596,4684,22206,55416,48,47892,2016,Texas,48_47892,Mesquite
"Midland city, Texas",1600000US4848072,134613,112486,84823,1046,18505,4205,5574,12963,6651,17507,100566,70849,3861,12702,64616,48,48072,2016,Texas,48_48072,Midland
"Mission city, Texas",1600000US4848768,83556,,47409,1404,10804,878,2579,5833,3167,8581,58243,34824,3064,18352,40945,48,48768,2016,Texas,48_48768,Mission
"Missouri City city, Texas",1600000US4848804,74875,27403,50604,404,9965,1459,3008,6956,4914,14429,59758,40123,4066,3486,76846,48,48804,2016,Texas,48_48804,Missouri City
"New Braunfels city, Texas",1600000US4850820,70999,64295,47101,619,10543,1768,3433,7652,3759,11875,54991,36045,857,5083,68937,48,50820,2016,Texas,48_50820,New Braunfels
"North Richland Hills city, Texas",1600000US4852356,69807,59726,47580,70,9865,2373,3919,7163,4340,12148,55540,37574,1609,3277,59743,48,52356,2016,Texas,48_52356,North Richland Hills
"Odessa city, Texas",1600000US4853388,117749,98075,71969,1083,16612,6150,5105,11173,4864,9469,88509,63101,6951,14113,56265,48,53388,2016,Texas,48_53388,Odessa
"Pasadena city, Texas",1600000US4856000,153359,136040,88691,2496,21023,5504,5545,12954,5454,9861,112553,70884,8146,26794,50043,48,56000,2016,Texas,48_56000,Pasadena
"Pearland city, Texas",1600000US4856348,117367,69095,,,,,,,,,89650,61826,3068,5098,91010,48,56348,2016,Texas,48_56348,Pearland
"Pharr city, Texas",1600000US4857200,77314,,45577,2613,9819,1761,1389,6871,1793,5070,53218,29150,1188,18453,37172,48,57200,2016,Texas,48_57200,Pharr
"Plano city, Texas",1600000US4858016,286047,188085,193941,1224,22988,2213,8698,26797,10889,69098,228518,160597,6613,19160,88398,48,58016,2016,Texas,48_58016,Plano
"Richardson city, Texas",1600000US4861796,113368,74781,74675,773,9593,1208,3258,9965,4681,27172,87861,62161,2485,10544,82241,48,61796,2016,Texas,48_61796,Richardson
"Round Rock city, Texas",1600000US4863500,120528,86455,75360,1114,13795,3126,5827,11506,6378,19985,94350,70829,5886,8732,72001,48,63500,2016,Texas,48_63500,Round Rock
"San Angelo city, Texas",1600000US4864472,103526,91526,65112,965,14643,3845,3901,12334,3774,11210,81498,53408,1932,12424,46619,48,64472,2016,Texas,48_64472,San Angelo
"San Antonio city, Texas",1600000US4865000,1492494,1184876,954233,19812,210075,44500,58364,141073,70182,159498,1155359,741629,44357,271771,49268,48,65000,2016,Texas,48_65000,San Antonio
"Sugar Land city, Texas",1600000US4870808,88187,42580,61970,381,7682,783,2446,5216,4856,23309,71121,44660,3262,5054,112998,48,70808,2016,Texas,48_70808,Sugar Land
"Temple city, Texas",1600000US4872176,73597,57045,48746,423,10910,3524,3524,9753,4052,7251,56155,33460,1810,12035,50910,48,72176,2016,Texas,48_72176,Temple
"The Woodlands CDP, Texas",1600000US4872656,112076,97357,,,,,,,,,83347,50030,1843,6064,97280,48,72656,2016,Texas,48_72656,The Woodlands CDP
"Tyler city, Texas",1600000US4874144,104796,71494,65696,1592,10037,2562,5422,12102,6897,12887,80097,48505,3765,21921,47811,48,74144,2016,Texas,48_74144,Tyler
"Victoria city, Texas",1600000US4875428,67672,58049,42661,774,11453,1958,3030,8285,2709,5571,52266,36180,2373,10474,50851,48,75428,2016,Texas,48_75428,Victoria
"Waco city, Texas",1600000US4876000,134422,90117,75247,1343,15808,4597,4981,11606,6145,9115,106702,63650,2058,32667,37722,48,76000,2016,Texas,48_76000,Waco
"Wichita Falls city, Texas",1600000US4879000,104735,78901,64990,1194,13025,4811,4126,12427,4307,11002,83343,51483,2263,17092,42459,48,79000,2016,Texas,48_79000,Wichita Falls
"Layton city, Utah",1600000US4943660,75658,63061,,,,,,,,,53209,36028,947,5612,68892,49,43660,2016,Utah,49_43660,Layton
"Ogden city, Utah",1600000US4955980,86709,74796,52785,613,12409,2705,5117,9997,4304,5927,63852,40397,1945,14865,44381,49,55980,2016,Utah,49_55980,Ogden
"Orem city, Utah",1600000US4957300,97508,85801,53278,299,7903,1585,4011,11451,4755,13666,71375,49967,1913,11467,59776,49,57300,2016,Utah,49_57300,Orem
"Provo city, Utah",1600000US4962470,116874,104399,45537,254,5519,997,3026,9053,4852,12001,94770,69267,3627,27974,46883,49,62470,2016,Utah,49_62470,Provo
"St. George city, Utah",1600000US4965330,82315,69725,51150,359,10010,681,4604,9747,7150,9836,63871,36576,1670,11549,52697,49,65330,2016,Utah,49_65330,St. George
"Salt Lake City city, Utah",1600000US4967000,193776,140022,129735,1937,19367,2553,7362,16378,9140,32161,156453,114093,3709,30355,56994,49,67000,2016,Utah,49_67000,Salt Lake City
"Sandy city, Utah",1600000US4967440,95827,88549,63886,578,10410,1207,4263,10619,5997,17680,73927,49756,1561,4017,94025,49,67440,2016,Utah,49_67440,Sandy
"South Jordan city, Utah",1600000US4970850,69034,,,,,,,,,,50016,35280,368,2836,95764,49,70850,2016,Utah,49_70850,South Jordan
"West Jordan city, Utah",1600000US4982950,113688,92944,65917,259,15295,1559,6028,12282,8443,12172,81328,60819,2419,3768,71517,49,82950,2016,Utah,49_82950,West Jordan
"West Valley City city, Utah",1600000US4983470,136579,76838,79961,1549,23893,2980,6734,11128,5493,8203,98130,71702,2831,13977,63882,49,83470,2016,Utah,49_83470,West Valley City
"Alexandria city, Virginia",1600000US5101000,155810,92717,116979,947,11484,1255,3343,11659,6381,33765,129596,99939,3049,19256,87920,51,01000,2016,Virginia,51_01000,Alexandria
"Arlington CDP, Virginia",1600000US5103000,230050,162749,170778,3059,14081,1565,2577,10516,4798,57888,192937,151826,4153,18298,110388,51,03000,2016,Virginia,51_03000,Arlington CDP
"Centreville CDP, Virginia",1600000US5114440,68024,38736,44817,933,6298,452,1978,4996,2375,15194,53238,39693,1714,4063,103157,51,14440,2016,Virginia,51_14440,Centreville CDP
"Chesapeake city, Virginia",1600000US5116000,237940,147623,160682,2210,34032,7242,11322,27591,15463,32967,187281,125363,5904,18606,72928,51,16000,2016,Virginia,51_16000,Chesapeake
"Dale City CDP, Virginia",1600000US5121088,72073,31207,47028,1060,12934,1090,2679,6458,2584,7758,55714,41152,1283,4068,95632,51,21088,2016,Virginia,51_21088,Dale City CDP
"Hampton city, Virginia",1600000US5135000,135410,56219,90993,702,22953,4042,5431,17507,8226,14168,109432,70522,4569,22696,50435,51,35000,2016,Virginia,51_35000,Hampton
"Lynchburg city, Virginia",1600000US5147672,80212,53004,44029,514,8959,2633,5005,3956,3243,8570,66551,40707,2960,10175,41264,51,47672,2016,Virginia,51_47672,Lynchburg
"Newport News city, Virginia",1600000US5156000,181825,86739,116209,884,26116,4904,9949,21054,11621,19745,143398,99077,6455,23008,50524,51,56000,2016,Virginia,51_56000,Newport News
"Norfolk city, Virginia",1600000US5157000,245115,115675,151771,1941,31936,7013,11309,29107,11986,27209,200912,140092,9271,43790,46467,51,57000,2016,Virginia,51_57000,Norfolk
"Portsmouth city, Virginia",1600000US5164000,95252,38231,62369,751,15872,2979,3682,14379,4213,8775,75067,49803,2775,15487,48516,51,64000,2016,Virginia,51_64000,Portsmouth
"Richmond city, Virginia",1600000US5167000,223170,101987,153809,2287,27013,6604,8151,19806,11217,33818,186086,122559,9102,56983,42373,51,67000,2016,Virginia,51_67000,Richmond
"Roanoke city, Virginia",1600000US5168000,99660,63615,69862,679,20882,3790,5184,8953,7378,9396,79157,49640,3648,23965,37044,51,68000,2016,Virginia,51_68000,Roanoke
"Suffolk city, Virginia",1600000US5176432,89273,45912,59503,476,13587,3586,3851,11386,5692,9472,69718,45255,1778,10024,66669,51,76432,2016,Virginia,51_76432,Suffolk
"Virginia Beach city, Virginia",1600000US5182000,452602,303452,306588,1997,53780,11260,22560,58017,33556,69650,362611,259147,11072,34792,71117,51,82000,2016,Virginia,51_82000,Virginia Beach
"Auburn city, Washington",1600000US5303180,75968,48026,49910,1035,9694,3664,5707,7102,5104,7859,57691,39014,2407,8027,60430,53,03180,2016,Washington,53_03180,Auburn
"Bellevue city, Washington",1600000US5305210,141415,75456,103080,1253,9971,443,2806,9846,7246,36670,115037,75642,2592,8299,113877,53,05210,2016,Washington,53_05210,Bellevue
"Bellingham city, Washington",1600000US5305280,87577,69699,49891,220,7643,1381,3456,7461,5101,12428,74446,47781,2408,18564,47652,53,05280,2016,Washington,53_05280,Bellingham
"Everett city, Washington",1600000US5322640,109035,79608,76004,1237,15564,4572,6929,14633,8314,10561,88922,57690,3786,17187,52626,53,22640,2016,Washington,53_22640,Everett
"Federal Way city, Washington",1600000US5323515,96748,57647,64813,780,13908,2175,5196,10755,5788,12666,74993,50033,2696,13189,65788,53,23515,2016,Washington,53_23515,Federal Way
"Kennewick city, Washington",1600000US5335275,80469,65134,49120,1073,11030,2129,3381,9165,4188,7754,59666,35750,2473,9948,56483,53,35275,2016,Washington,53_35275,Kennewick
"Kent city, Washington",1600000US5335415,127506,62039,84425,2437,15654,3874,5821,13060,7983,15696,100069,68273,3741,17653,65423,53,35415,2016,Washington,53_35415,Kent
"Kirkland city, Washington",1600000US5335940,87672,66935,,,,,,,,,71525,50563,1649,5709,114336,53,35940,2016,Washington,53_35940,Kirkland
"Marysville city, Washington",1600000US5343955,67625,58328,45210,535,11382,1989,5052,8594,5087,6735,53061,35540,1504,5003,73132,53,43955,2016,Washington,53_43955,Marysville
"Pasco city, Washington",1600000US5353545,71934,42553,40108,1353,8112,1846,3471,6348,3554,3911,49854,34553,1848,11636,57092,53,53545,2016,Washington,53_53545,Pasco
"Renton city, Washington",1600000US5357745,100952,47180,70140,403,13592,2977,5127,9286,7025,19193,81616,56382,1537,10616,71951,53,57745,2016,Washington,53_57745,Renton
"Seattle city, Washington",1600000US5363000,704358,475419,518986,5490,41901,6480,19718,59542,34685,186111,608565,447586,20963,78897,83476,53,63000,2016,Washington,53_63000,Seattle
"Spokane city, Washington",1600000US5367000,215964,181230,144472,1184,25851,7521,13013,26981,18351,26007,170738,105523,6093,37129,45676,53,67000,2016,Washington,53_67000,Spokane
"Spokane Valley city, Washington",1600000US5367167,96337,87705,67659,760,15630,2506,7040,12968,8659,11631,77610,49343,2747,10532,49966,53,67167,2016,Washington,53_67167,Spokane Valley
"Tacoma city, Washington",1600000US5370000,211304,132869,141729,2407,29766,6516,10609,26398,12950,24593,167661,109686,6132,33807,55996,53,70000,2016,Washington,53_70000,Tacoma
"Vancouver city, Washington",1600000US5374060,174836,137738,119857,998,25701,4766,11027,20861,13290,21859,139126,90474,4993,21357,56615,53,74060,2016,Washington,53_74060,Vancouver
"Yakima city, Washington",1600000US5380010,93974,70908,56102,1282,10713,4879,4484,8111,3985,5996,68404,42940,3579,20616,41454,53,80010,2016,Washington,53_80010,Yakima
"Appleton city, Wisconsin",1600000US5502375,75465,64422,47417,794,10631,1024,3292,7464,5502,11302,57471,41096,2057,10009,52057,55,02375,2016,Wisconsin,55_02375,Appleton
"Eau Claire city, Wisconsin",1600000US5522300,67776,62345,40125,563,7785,929,3634,5638,6344,8769,56198,38878,2066,9807,44013,55,22300,2016,Wisconsin,55_22300,Eau Claire
"Green Bay city, Wisconsin",1600000US5531000,105142,82200,67649,1130,19201,2851,4585,8854,8714,11717,82757,58809,2464,15829,46020,55,31000,2016,Wisconsin,55_31000,Green Bay
"Kenosha city, Wisconsin",1600000US5539225,99634,80060,63470,1186,16665,3032,5632,9489,5793,8007,77503,51478,4113,18158,51640,55,39225,2016,Wisconsin,55_39225,Kenosha
"Madison city, Wisconsin",1600000US5548000,252557,199966,158434,1357,20319,2666,4754,15437,15335,51971,216029,156325,5942,40681,61284,55,48000,2016,Wisconsin,55_48000,Madison
"Milwaukee city, Wisconsin",1600000US5553000,595070,259589,366000,7087,94241,15696,21660,60108,27381,55503,455419,299816,23906,154504,38097,55,53000,2016,Wisconsin,55_53000,Milwaukee
"Oshkosh city, Wisconsin",1600000US5560500,66570,61088,41111,409,11693,2357,2579,6332,4390,7558,56636,36332,1430,12823,46716,55,60500,2016,Wisconsin,55_60500,Oshkosh
"Racine city, Wisconsin",1600000US5566000,77572,49635,48043,254,15513,2054,4178,7741,4160,5043,58854,35802,2112,18102,35615,55,66000,2016,Wisconsin,55_66000,Racine
"Waukesha city, Wisconsin",1600000US5584250,72358,61904,47517,255,10623,1607,2503,7570,5038,10970,58106,41519,1735,8868,56808,55,84250,2016,Wisconsin,55_84250,Waukesha
"Bayamón zona urbana, Puerto Rico",1600000US7206593,163941,115073,117126,1913,24513,5347,3320,16640,13571,24271,138076,69436,10002,55269,23950,72,06593,2016,Puerto Rico,72_06593,Bayamón
"Caguas zona urbana, Puerto Rico",1600000US7210334,75619,57610,53244,1665,12380,2597,2111,5901,4813,11268,63070,30263,6168,30402,20901,72,10334,2016,Puerto Rico,72_10334,Caguas
"Carolina zona urbana, Puerto Rico",1600000US7214290,141984,71270,100589,1466,21753,4633,2653,11768,12085,22606,117347,65913,10363,43496,28197,72,14290,2016,Puerto Rico,72_14290,Carolina
"Guaynabo zona urbana, Puerto Rico",1600000US7232522,70097,54848,50574,1022,6500,229,922,6550,5089,15040,58754,35186,3911,15296,42193,72,32522,2016,Puerto Rico,72_32522,Guaynabo
"Ponce zona urbana, Puerto Rico",1600000US7263820,117185,92457,81238,2104,20443,1755,1281,8054,8557,18405,96802,37177,4722,55119,17588,72,63820,2016,Puerto Rico,72_63820,Ponce
"San Juan zona urbana, Puerto Rico",1600000US7276770,333149,221408,238603,5851,49241,5126,4068,20273,26831,53973,279591,145723,22104,130855,22553,72,76770,2016,Puerto Rico,72_76770,San Juan
"Lexington-Fayette urban county, Kentucky",1600000US2146027,321959,243170,209203,1552,31106,9445,11423,34244,15733,54242,260333,178846,8900,51096,56137,21,46027,2017,Kentucky,21_46027,Lexington-Fayette urban county
"Louisville/Jefferson County metro government (balance), Kentucky",1600000US2148006,621337,430744,421939,3894,103138,21937,25250,72551,30900,75434,494075,327733,18977,91778,51960,21,48006,2017,Kentucky,21_48006,Louisville/Jefferson County metro government (balance)
"Baton Rouge city, Louisiana",1600000US2205000,225370,88963,135845,1594,32522,5510,6752,24528,5738,24535,179962,115166,11332,58848,40796,22,05000,2017,Louisiana,22_05000,Baton Rouge
"Bossier City city, Louisiana",1600000US2208920,68564,44446,43487,688,10755,2182,3018,8484,3667,5424,53000,31985,2120,15955,46911,22,08920,2017,Louisiana,22_08920,Bossier City
"Kenner city, Louisiana",1600000US2239475,67464,41165,46401,717,12130,1949,1801,8440,2917,6521,52834,33644,1310,10128,57009,22,39475,2017,Louisiana,22_39475,Kenner
"Lafayette city, Louisiana",1600000US2240735,126847,76388,83767,715,21462,3821,3583,9742,4118,20052,101654,63585,3746,26134,41964,22,40735,2017,Louisiana,22_40735,Lafayette
"Lake Charles city, Louisiana",1600000US2241155,77125,37445,53544,145,11547,2107,3495,9509,3968,10697,63659,41324,2938,9723,43939,22,41155,2017,Louisiana,22_41155,Lake Charles
"Metairie CDP, Louisiana",1600000US2250115,146847,115612,107854,737,25084,4437,5273,17397,6579,24260,119901,77352,1676,17552,58947,22,50115,2017,Louisiana,22_50115,Metairie CDP
"New Orleans city, Louisiana",1600000US2255000,393292,133124,278629,3765,58352,8290,13740,47330,14129,55715,321971,193554,13250,99735,36999,22,55000,2017,Louisiana,22_55000,New Orleans
"Shreveport city, Louisiana",1600000US2270000,191715,67308,126972,1116,36145,5046,6292,24366,8095,17206,148519,86663,7348,54745,32983,22,70000,2017,Louisiana,22_70000,Shreveport
"Portland city, Maine",1600000US2360545,66878,55865,49813,556,6827,1659,2287,6772,3373,14752,57459,40528,1226,10531,56326,23,60545,2017,Maine,23_60545,Portland
"Baltimore city, Maryland",1600000US2404000,611648,183988,426682,7038,104704,20345,21953,60438,21881,64146,498844,307585,23261,130980,47131,24,04000,2017,Maryland,24_04000,Baltimore
"Bethesda CDP, Maryland",1600000US2407125,68297,54271,,,,,,,,,53061,36514,962,1728,166380,24,07125,2017,Maryland,24_07125,Bethesda CDP
"Columbia CDP, Maryland",1600000US2419125,103709,52035,71547,715,6448,1532,2708,8744,4281,22723,82446,59007,1330,9463,100665,24,19125,2017,Maryland,24_19125,Columbia CDP
"Ellicott City CDP, Maryland",1600000US2426000,76727,44377,51404,606,6788,317,1564,3858,3182,14858,61033,40504,1128,4191,123380,24,26000,2017,Maryland,24_26000,Ellicott City CDP
"Frederick city, Maryland",1600000US2430325,71397,48471,49848,412,8053,1515,3003,6543,4066,12265,57976,41999,2416,6896,73457,24,30325,2017,Maryland,24_30325,Frederick
"Gaithersburg city, Maryland",1600000US2431175,68721,29627,46200,605,8085,1147,1962,3939,2335,11508,52217,36391,1981,8842,82077,24,31175,2017,Maryland,24_31175,Gaithersburg
"Germantown CDP, Maryland",1600000US2432025,95711,41630,63996,1269,6839,1128,2383,10319,6270,16302,75026,57943,2250,4761,96701,24,32025,2017,Maryland,24_32025,Germantown CDP
"Glen Burnie CDP, Maryland",1600000US2432650,70108,40118,47843,537,12813,1960,5263,5778,4242,7969,57332,38912,1525,5478,62593,24,32650,2017,Maryland,24_32650,Glen Burnie CDP
"Rockville city, Maryland",1600000US2467675,68400,36687,49164,705,4165,732,2142,5066,2695,13041,53744,37840,1582,3552,100388,24,67675,2017,Maryland,24_67675,Rockville
"Silver Spring CDP, Maryland",1600000US2472450,80265,34516,55633,790,8206,1189,1416,5165,2539,15446,65574,50272,3000,5507,84393,24,72450,2017,Maryland,24_72450,Silver Spring CDP
"Waldorf CDP, Maryland",1600000US2481175,69519,23841,46808,305,11655,1831,3151,8069,4282,8157,54041,37131,978,2763,92029,24,81175,2017,Maryland,24_81175,Waldorf CDP
"Boston city, Massachusetts",1600000US2507000,683015,360756,474814,8703,88257,13314,13853,51854,21284,123194,589324,409910,27450,119925,66758,25,07000,2017,Massachusetts,25_07000,Boston
"Brockton city, Massachusetts",1600000US2509000,95664,32762,61534,2049,17537,2020,4419,8512,5137,8494,75986,51006,3240,9878,58357,25,09000,2017,Massachusetts,25_09000,Brockton
"Cambridge city, Massachusetts",1600000US2511000,113631,76656,78158,595,4880,642,1028,4271,1112,23798,102191,68722,2801,12112,97316,25,11000,2017,Massachusetts,25_11000,Cambridge
"Fall River city, Massachusetts",1600000US2523000,89415,67839,61538,1818,18839,4027,3818,6782,4160,6427,71180,42210,3142,16801,43235,25,23000,2017,Massachusetts,25_23000,Fall River
"Framingham CDP, Massachusetts",1600000US2524960,72045,49786,49015,460,10235,1200,3613,4937,3282,11854,55941,39989,2807,7720,84050,25,24960,2017,Massachusetts,25_24960,Framingham CDP
"Lawrence city, Massachusetts",1600000US2534550,80183,63108,48573,1057,11178,2506,2283,9252,2042,3612,62061,43698,2744,14779,41499,25,34550,2017,Massachusetts,25_34550,Lawrence
"Lowell city, Massachusetts",1600000US2537000,111343,69623,73431,4922,23948,1859,4347,6446,4624,9528,91318,57308,2897,24170,50391,25,37000,2017,Massachusetts,25_37000,Lowell
"Lynn city, Massachusetts",1600000US2537490,94064,48700,65054,2985,18829,2796,3516,7557,5384,9122,77196,49991,1802,15082,48900,25,37490,2017,Massachusetts,25_37490,Lynn
"New Bedford city, Massachusetts",1600000US2545000,95110,61843,65812,1837,18532,3480,3207,7951,5423,8125,78317,48014,2881,17108,45784,25,45000,2017,Massachusetts,25_45000,New Bedford
"Newton city, Massachusetts",1600000US2545560,88989,67804,,,,,,,,,73640,50710,1673,2764,144403,25,45560,2017,Massachusetts,25_45560,Newton
"Quincy city, Massachusetts",1600000US2555745,94165,52409,73520,1960,15323,1397,2744,6862,5621,18574,81748,57836,2925,11525,77765,25,55745,2017,Massachusetts,25_55745,Quincy
"Somerville city, Massachusetts",1600000US2562535,81361,62971,60445,1126,7450,1146,1426,3361,1728,19626,71913,55810,2200,10707,89478,25,62535,2017,Massachusetts,25_62535,Somerville
"Springfield city, Massachusetts",1600000US2567000,154763,103166,96288,2925,25255,4998,6412,10890,8859,11982,122973,68884,6381,41640,36234,25,67000,2017,Massachusetts,25_67000,Springfield
"Worcester city, Massachusetts",1600000US2582000,185685,129300,119405,2010,31039,4158,5459,14313,10771,20830,153494,86435,3872,38649,41561,25,82000,2017,Massachusetts,25_82000,Worcester
"Ann Arbor city, Michigan",1600000US2603000,121461,85136,67897,553,4748,640,2045,4606,2606,19447,107475,69106,2724,20954,70499,26,03000,2017,Michigan,26_03000,Ann Arbor
