name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Santa Rosa city, California",1600000US0670098,174166,123008,118855,3651,19248,3064,8363,19752,11524,25387,137559,89411,5433,20089,63280,06,70098,2014,California,06_70098,Santa Rosa
"Simi Valley city, California",1600000US0672016,126873,102150,87049,730,16998,3106,6055,15523,10451,16867,102334,68397,4286,10879,82168,06,72016,2014,California,06_72016,Simi Valley
"South Gate city, California",1600000US0673080,96299,55677,58838,4293,13088,842,2782,6267,2673,4056,73172,47952,5870,20931,43160,06,73080,2014,California,06_73080,South Gate
"South San Francisco city, California",1600000US0673262,67011,26050,50519,1737,8855,1209,2869,8716,3315,15343,58617,39380,1372,,86191,06,73262,2014,California,06_73262,South San Francisco
"Stockton city, California",1600000US0675000,302405,138630,185153,8694,42534,6665,13591,27753,16477,20420,227188,134682,18758,83367,40993,06,75000,2014,California,06_75000,Stockton
"Sunnyvale city, California",1600000US0677000,149984,75207,104330,829,11490,914,3514,9281,5928,30869,113941,78775,3884,10508,104681,06,77000,2014,California,06_77000,Sunnyvale
"Temecula city, California",1600000US0678120,109446,84170,70509,672,12878,1451,4566,14563,7295,16250,83209,54872,5221,6885,80753,06,78120,2014,California,06_78120,Temecula
"Thousand Oaks city, California",1600000US0678582,129344,106424,90218,951,12433,764,4761,14388,8149,25718,104953,69501,5989,8436,97291,06,78582,2014,California,06_78582,Thousand Oaks
"Torrance city, California",1600000US0680000,148483,79909,104952,1090,17581,1126,6362,13161,8500,34238,120756,74857,4307,10042,80198,06,80000,2014,California,06_80000,Torrance
"Tracy city, California",1600000US0680238,85835,52258,49659,1798,12406,2342,4008,6837,3937,8542,62234,43815,4427,9123,77798,06,80238,2014,California,06_80238,Tracy
"Turlock city, California",1600000US0680812,71246,56043,44341,2431,9577,1149,3580,8197,3622,6820,54649,33276,3314,13184,50138,06,80812,2014,California,06_80812,Turlock
"Tustin city, California",1600000US0680854,80617,35234,55433,1161,9039,899,2263,7817,3578,11990,64530,46439,4129,10734,67344,06,80854,2014,California,06_80854,Tustin
"Union City city, California",1600000US0681204,73608,13375,53752,1378,14993,576,2319,8916,3088,11561,60550,37788,2271,7790,83861,06,81204,2014,California,06_81204,Union City
"Upland city, California",1600000US0681344,76039,45968,51702,478,12831,639,3731,10305,4332,9667,60321,36775,3286,11403,54681,06,81344,2014,California,06_81344,Upland
"Vacaville city, California",1600000US0681554,95863,62369,64189,627,12355,2579,7735,12581,6488,10072,76006,45824,3668,7836,70847,06,81554,2014,California,06_81554,Vacaville
"Vallejo city, California",1600000US0681666,120210,50444,80869,1432,17035,2061,6401,17506,7610,16281,97243,61836,7346,21382,57623,06,81666,2014,California,06_81666,Vallejo
"Victorville city, California",1600000US0682590,121911,74162,68132,1438,16839,2947,8700,10983,8045,4612,86202,47432,7779,32826,43589,06,82590,2014,California,06_82590,Victorville
"Visalia city, California",1600000US0682954,129280,103599,76270,2338,17570,2975,5361,15464,6363,11227,94280,54397,3163,26542,49556,06,82954,2014,California,06_82954,Visalia
"Vista city, California",1600000US0682996,98086,72080,61369,684,15124,904,3050,10177,7129,9493,76524,48905,2549,17940,52486,06,82996,2014,California,06_82996,Vista
"Walnut Creek city, California",1600000US0683346,67664,52265,,,,,,,,,58048,32278,2137,5232,76311,06,83346,2014,California,06_83346,Walnut Creek
"West Covina city, California",1600000US0684200,108445,36506,72961,2628,16382,2735,3678,10882,6542,14750,86032,54231,4907,14017,66333,06,84200,2014,California,06_84200,West Covina
"Westminster city, California",1600000US0684550,92062,39397,67428,3589,15045,2077,2611,11713,6181,11011,78984,47744,2797,18661,54622,06,84550,2014,California,06_84550,Westminster
